Timestamp,Nama Lengkap,Jenis Kelamin,Lulus dari SMP,Lanjut ke Sekolah Menengah ...,Jurusan
8/26/2025 8:27:19,Student 106,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/26/2025 9:02:42,Student 107,Perempuan,2024,SMK,Teknik Otomasi Industri
8/26/2025 9:53:04,Student 108,Perempuan,2025,SMK,Pemasaran
8/26/2025 9:54:20,Student 109,Perempuan,2025,SMK,Pemasaran
8/26/2025 11:04:12,Student 110,Laki-laki,2024,SMA,Ilmu Pengetahuan Sosial
8/26/2025 17:32:10,Student 111,Perempuan,2024,SMA,Ilmu Pengetahuan Sosial
8/26/2025 18:04:46,Student 112,Laki-laki,2024,SMK,Teknik Instalasi Tenaga Listrik
8/26/2025 18:21:24,Student 113,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/26/2025 19:09:35,Student 114,Perempuan,2023,SMK,Teknik Komputer dan Jaringan
8/26/2025 19:20:51,Student 115,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/26/2025 19:40:10,Student 116,Laki-laki,2025,SMK,Teknik Otomasi Industri
8/26/2025 22:57:26,Student 117,Perempuan,2025,SMK,Teknik Otomasi Industri
8/27/2025 21:11:29,Student 118,Perempuan,2024,SMA,Ilmu Pengetahuan Sosial
8/30/2025 9:32:55,Student 119,Perempuan,2025,SMA,Ilmu Pengetahuan Sosial
8/30/2025 9:42:34,Student 120,Perempuan,2025,SMA,Ilmu Pengetahuan Sosial
8/30/2025 10:03:38,Student 121,Perempuan,2025,SMA,Ilmu Pengetahuan Sosial
